time,ball_x,ball_y,ball_z
4.420000,1.280899689,-0.000133580,0.021299612
4.430000,1.280994459,-0.000133584,0.021299612
4.440000,1.281087496,-0.000133589,0.021299612
4.450000,1.281178833,-0.000133593,0.021299612
4.460000,1.281268499,-0.000133598,0.021299612
4.470000,1.281356526,-0.000133602,0.021299612
4.480000,1.281442944,-0.000133606,0.021299612
4.490000,1.281527782,-0.000133611,0.021299612
4.500000,1.281611069,-0.000133615,0.021299612
4.510000,1.281692833,-0.000133619,0.021299612
4.520000,1.281773102,-0.000133623,0.021299612
4.530000,1.281851904,-0.000133627,0.021299612
4.540000,1.281929265,-0.000133630,0.021299612
4.550000,1.282005212,-0.000133634,0.021299612
4.560000,1.282079770,-0.000133638,0.021299612
4.570000,1.282152965,-0.000133641,0.021299612
4.580000,1.282224822,-0.000133645,0.021299612
4.590000,1.282295365,-0.000133648,0.021299612
4.600000,1.282364619,-0.000133652,0.021299612
4.610000,1.282432606,-0.000133655,0.021299612
4.620000,1.282499351,-0.000133658,0.021299612
4.630000,1.282564875,-0.000133662,0.021299612
4.640000,1.282629201,-0.000133665,0.021299612
4.650000,1.282692351,-0.000133668,0.021299612
4.660000,1.282754347,-0.000133671,0.021299612
4.670000,1.282815209,-0.000133674,0.021299612
4.680000,1.282874959,-0.000133677,0.021299612
4.690000,1.282933616,-0.000133680,0.021299612
4.700000,1.282991201,-0.000133683,0.021299612
4.710000,1.283047733,-0.000133685,0.021299612
4.720000,1.283103231,-0.000133688,0.021299612
4.730000,1.283157715,-0.000133691,0.021299612
4.740000,1.283211203,-0.000133694,0.021299612
4.750000,1.283263712,-0.000133696,0.021299612
4.760000,1.283315262,-0.000133699,0.021299612
4.770000,1.283365870,-0.000133701,0.021299612
4.780000,1.283415552,-0.000133704,0.021299612
4.790000,1.283464326,-0.000133706,0.021299612
4.800000,1.283512208,-0.000133708,0.021299612
4.810000,1.283559214,-0.000133711,0.021299612
4.820000,1.283605362,-0.000133713,0.021299612
4.830000,1.283650665,-0.000133715,0.021299612
